类别：所有类别

月份,war report: (全球)
2010-01,47
2010-02,50
2010-03,61
2010-04,53
2010-05,49
2010-06,46
2010-07,73
2010-08,43
2010-09,44
2010-10,42
2010-11,45
2010-12,40
2011-01,41
2011-02,43
2011-03,46
2011-04,58
2011-05,45
2011-06,38
2011-07,35
2011-08,35
2011-09,44
2011-10,41
2011-11,43
2011-12,35
2012-01,37
2012-02,39
2012-03,42
2012-04,39
2012-05,40
2012-06,30
2012-07,32
2012-08,31
2012-09,37
2012-10,39
2012-11,42
2012-12,43
2013-01,37
2013-02,40
2013-03,45
2013-04,46
2013-05,42
2013-06,39
2013-07,32
2013-08,36
2013-09,46
2013-10,39
2013-11,39
2013-12,36
2014-01,37
2014-02,36
2014-03,52
2014-04,40
2014-05,39
2014-06,35
2014-07,38
2014-08,38
2014-09,35
2014-10,37
2014-11,39
2014-12,38
2015-01,35
2015-02,37
2015-03,39
2015-04,37
2015-05,43
2015-06,37
2015-07,33
2015-08,34
2015-09,36
2015-10,40
2015-11,42
2015-12,35
2016-01,34
2016-02,35
2016-03,36
2016-04,38
2016-05,53
2016-06,34
2016-07,46
2016-08,32
2016-09,36
2016-10,42
2016-11,33
2016-12,31
2017-01,33
2017-02,33
2017-03,39
2017-04,42
2017-05,34
2017-06,29
2017-07,30
2017-08,29
2017-09,34
2017-10,33
2017-11,35
2017-12,30
2018-01,29
2018-02,28
2018-03,37
2018-04,51
2018-05,41
2018-06,30
2018-07,27
2018-08,26
2018-09,28
2018-10,30
2018-11,32
2018-12,27
2019-01,26
2019-02,32
2019-03,35
2019-04,32
2019-05,34
2019-06,27
2019-07,22
2019-08,23
2019-09,28
2019-10,39
2019-11,34
2019-12,30
2020-01,34
2020-02,29
2020-03,29
2020-04,38
2020-05,33
2020-06,31
2020-07,26
2020-08,22
2020-09,30
2020-10,31
2020-11,45
2020-12,37
2021-01,34
2021-02,30
2021-03,30
2021-04,38
2021-05,37
2021-06,27
2021-07,26
2021-08,23
2021-09,25
2021-10,25
2021-11,26
2021-12,24
2022-01,38
2022-02,72
2022-03,100
2022-04,76
2022-05,73
2022-06,57
2022-07,46
2022-08,45
2022-09,59
2022-10,65
2022-11,59
2022-12,51
2023-01,54
2023-02,61
2023-03,60
2023-04,56
2023-05,57
2023-06,59
2023-07,51
2023-08,48
2023-09,51
2023-10,71
2023-11,55
2023-12,48
2024-01,49
2024-02,55
2024-03,53
2024-04,53
