类别：所有类别

日,war report: (全球)
2023-08-01,50
2023-08-02,49
2023-08-03,67
2023-08-04,39
2023-08-05,51
2023-08-06,46
2023-08-07,50
2023-08-08,41
2023-08-09,57
2023-08-10,37
2023-08-11,54
2023-08-12,54
2023-08-13,47
2023-08-14,48
2023-08-15,54
2023-08-16,45
2023-08-17,32
2023-08-18,35
2023-08-19,29
2023-08-20,39
2023-08-21,58
2023-08-22,51
2023-08-23,87
2023-08-24,56
2023-08-25,32
2023-08-26,37
2023-08-27,54
2023-08-28,43
2023-08-29,55
2023-08-30,59
2023-08-31,58
2023-09-01,45
2023-09-02,26
2023-09-03,44
2023-09-04,51
2023-09-05,56
2023-09-06,64
2023-09-07,50
2023-09-08,62
2023-09-09,48
2023-09-10,41
2023-09-11,52
2023-09-12,55
2023-09-13,50
2023-09-14,72
2023-09-15,45
2023-09-16,54
2023-09-17,37
2023-09-18,41
2023-09-19,57
2023-09-20,52
2023-09-21,47
2023-09-22,69
2023-09-23,49
2023-09-24,45
2023-09-25,50
2023-09-26,70
2023-09-27,58
2023-09-28,92
2023-09-29,53
2023-09-30,45
2023-10-01,42
2023-10-02,72
2023-10-03,55
2023-10-04,57
2023-10-05,46
2023-10-06,59
2023-10-07,73
2023-10-08,77
2023-10-09,100
2023-10-10,97
2023-10-11,91
2023-10-12,97
2023-10-13,83
2023-10-14,60
2023-10-15,85
2023-10-16,80
2023-10-17,87
2023-10-18,99
2023-10-19,90
2023-10-20,67
2023-10-21,67
2023-10-22,60
2023-10-23,59
2023-10-24,63
2023-10-25,75
2023-10-26,64
2023-10-27,71
2023-10-28,53
2023-10-29,48
2023-10-30,62
2023-10-31,67
2023-11-01,57
2023-11-02,69
2023-11-03,78
2023-11-04,37
2023-11-05,60
2023-11-06,75
2023-11-07,87
2023-11-08,59
2023-11-09,65
2023-11-10,45
2023-11-11,46
2023-11-12,54
2023-11-13,60
2023-11-14,58
2023-11-15,60
2023-11-16,74
2023-11-17,51
2023-11-18,46
2023-11-19,46
2023-11-20,70
2023-11-21,45
2023-11-22,52
2023-11-23,45
2023-11-24,51
2023-11-25,46
2023-11-26,50
2023-11-27,57
2023-11-28,70
2023-11-29,62
2023-11-30,57
2023-12-01,48
2023-12-02,40
2023-12-03,47
2023-12-04,68
2023-12-05,61
2023-12-06,49
2023-12-07,45
2023-12-08,60
2023-12-09,33
2023-12-10,49
2023-12-11,40
2023-12-12,54
2023-12-13,72
2023-12-14,67
2023-12-15,52
2023-12-16,35
2023-12-17,50
2023-12-18,43
2023-12-19,54
2023-12-20,41
2023-12-21,63
2023-12-22,39
2023-12-23,40
2023-12-24,32
2023-12-25,30
2023-12-26,46
2023-12-27,38
2023-12-28,48
2023-12-29,51
2023-12-30,49
2023-12-31,34
2024-01-01,45
2024-01-02,48
2024-01-03,48
2024-01-04,37
2024-01-05,40
2024-01-06,26
2024-01-07,57
2024-01-08,55
2024-01-09,52
2024-01-10,57
2024-01-11,50
2024-01-12,41
2024-01-13,53
2024-01-14,38
2024-01-15,44
2024-01-16,71
2024-01-17,64
2024-01-18,48
2024-01-19,64
2024-01-20,0
2024-01-21,46
2024-01-22,51
2024-01-23,49
2024-01-24,61
2024-01-25,47
2024-01-26,62
2024-01-27,40
2024-01-28,37
2024-01-29,61
2024-01-30,51
2024-01-31,65
2024-02-01,62
2024-02-02,60
2024-02-03,59
2024-02-04,70
2024-02-05,76
2024-02-06,64
2024-02-07,56
2024-02-08,61
2024-02-09,44
2024-02-10,61
2024-02-11,59
2024-02-12,61
2024-02-13,47
2024-02-14,53
2024-02-15,48
2024-02-16,53
2024-02-17,53
2024-02-18,52
2024-02-19,49
2024-02-20,48
2024-02-21,60
2024-02-22,57
2024-02-23,58
2024-02-24,46
2024-02-25,55
2024-02-26,57
2024-02-27,70
2024-02-28,58
2024-02-29,65
2024-03-01,83
2024-03-02,36
2024-03-03,43
2024-03-04,77
2024-03-05,74
2024-03-06,57
2024-03-07,52
2024-03-08,66
2024-03-09,51
2024-03-10,51
2024-03-11,62
2024-03-12,40
2024-03-13,51
2024-03-14,67
2024-03-15,62
2024-03-16,38
2024-03-17,52
2024-03-18,61
2024-03-19,66
2024-03-20,73
2024-03-21,50
2024-03-22,54
2024-03-23,65
2024-03-24,50
2024-03-25,52
2024-03-26,66
2024-03-27,48
2024-03-28,49
2024-03-29,42
2024-03-30,25
2024-03-31,0
2024-04-01,58
2024-04-02,48
2024-04-03,54
2024-04-04,58
2024-04-05,50
2024-04-06,29
2024-04-07,51
2024-04-08,52
2024-04-09,77
2024-04-10,53
2024-04-11,54
2024-04-12,58
2024-04-13,52
2024-04-14,61
2024-04-15,68
2024-04-16,59
2024-04-17,51
2024-04-18,55
2024-04-19,56
2024-04-20,42
2024-04-21,47
2024-04-22,60
2024-04-23,53
2024-04-24,44
